Date,Index
12/6/2015,1102.84
12/7/2015,1107.94
12/8/2015,1107.23
12/9/2015,1122.79
12/10/2015,1119.35
12/13/2015,1118.57
12/14/2015,1120.18
12/15/2015,1121.02
12/16/2015,1116.19
12/17/2015,1110.68
12/20/2015,1118.95
12/21/2015,1131.52
12/22/2015,1138.18
12/23/2015,1133.34
12/24/2015,1137.03
12/27/2015,1135.47
12/28/2015,1131.95
12/29/2015,1142.17
12/31/2015,1151.38
1/3/2016,1160.84
1/4/2016,1154.62
1/5/2016,1146.77
1/6/2016,1149.89
1/7/2016,1164.14
1/10/2016,1167.18
1/11/2016,1168.81
1/12/2016,1173.6
1/13/2016,1180.98
1/14/2016,1190.16
1/17/2016,1209.67
1/18/2016,1214.31
1/19/2016,1213.71
1/20/2016,1213.57
1/21/2016,1212.32
1/24/2016,1219.62
1/25/2016,1222.43
1/26/2016,1218.39
1/27/2016,1216.96
1/28/2016,1216.11
1/31/2016,1220.7
2/1/2016,1238.02
2/2/2016,1240.07
2/3/2016,1242.13
2/4/2016,1251.42
2/7/2016,1262.82
2/8/2016,1263.75
2/11/2016,1263.72
2/14/2016,1259.35
2/15/2016,1258.23
2/16/2016,1257.34
2/17/2016,1266.08
2/18/2016,1273.28
2/21/2016,1278.92
2/22/2016,1291.81
2/23/2016,1285.93
2/24/2016,1279.9
2/25/2016,1283.52
2/28/2016,1283.67
2/29/2016,1283.94
3/1/2016,1289.52
3/2/2016,1295.78
3/3/2016,1300.76
3/6/2016,1306.54
3/10/2016,1318.03
3/13/2016,1318.88
3/14/2016,1312.2
3/15/2016,1312.85
3/16/2016,1315.77
3/17/2016,1326.53
3/20/2016,1343.93
3/21/2016,1342.07
3/23/2016,1345.53
3/24/2016,1357.14
3/27/2016,1377.33
3/28/2016,1374.75
3/29/2016,1370.04
3/30/2016,1362.98
3/31/2016,1355.48
4/3/2016,1351.54
4/4/2016,1362.53
4/5/2016,1375.26
4/6/2016,1377.42
4/10/2016,1382.42
4/11/2016,1383.85
4/12/2016,1388.63
4/14/2016,1405.78
4/17/2016,1409.43
4/18/2016,1428.6
4/19/2016,1430.81
4/20/2016,1440.69
4/21/2016,1441.67
4/24/2016,1454.35
4/25/2016,1461.75
4/26/2016,1453.11
4/27/2016,1458.38
4/28/2016,1464.91
5/2/2016,1474.47
5/3/2016,1471.95
5/4/2016,1468.11
5/5/2016,1463.13
5/8/2016,1472.69
5/9/2016,1482.9
5/10/2016,1484.04
5/11/2016,1481.18
5/12/2016,1481.94
5/15/2016,1477.38
5/16/2016,1467.51
5/17/2016,1483.68
5/18/2016,1496.41
5/19/2016,1499.32
5/22/2016,1509.39
5/23/2016,1524.07
5/24/2016,1544.53
5/25/2016,1524.12
5/26/2016,1525.09
5/29/2016,1522.25
5/30/2016,1526.96
5/31/2016,1532.12
6/1/2016,1523.56
6/2/2016,1518.12
6/5/2016,1483.14
6/6/2016,1516.8
6/7/2016,1531.49
6/8/2016,1546.8
6/9/2016,1566.7
6/12/2016,1597.96
6/13/2016,1609.59
6/14/2016,1614.15
6/15/2016,1620.47
6/16/2016,1632.94
6/19/2016,1622.27
6/20/2016,1615.1
6/21/2016,1628.81
